iter	Passed	Remaining
0	189	81290
1	362	77607
2	691	98466
3	1244	132572
4	1602	136171
5	1914	135261
6	2270	137218
7	2557	134922
8	2808	131352
9	3096	130071
10	3470	132178
11	3759	130971
12	4061	130282
13	4395	130604
14	4708	130279
15	4982	128920
16	5286	128437
17	5604	128278
18	5933	128351
19	6245	128040
20	6569	127945
21	6857	127177
22	7204	127491
23	7475	126454
24	7789	126194
25	8088	125679
26	8343	124537
27	8669	124473
28	8955	123830
29	9241	123221
30	9563	123091
31	9893	123045
32	10140	121993
33	10474	122000
34	10822	122143
35	11257	123202
36	11606	123278
37	11940	123174
38	12282	123141
39	12629	123135
40	12991	123264
41	13268	122579
42	13615	122535
43	13866	121643
44	14189	121400
45	14557	121526
46	15015	122358
47	15320	121925
48	15669	121839
49	16020	121758
50	16314	121236
51	16535	120202
52	16640	118366
53	16736	116536
54	16832	114769
55	16935	113104
56	17042	111520
57	17142	109950
58	17241	108416
59	17328	106856
60	17409	105313
61	17498	103864
62	17582	102425
63	17668	101044
64	17754	99696
65	17840	98392
66	17923	97105
67	18003	95841
68	18088	94638
69	18174	93466
70	18297	92517
71	18400	91493
72	18486	90407
73	18576	89369
74	18662	88333
75	18750	87337
76	18836	86356
77	18921	85391
78	19005	84443
79	19092	83531
80	19176	82626
81	19262	81749
82	19355	80917
83	19447	80106
84	19532	79277
85	19613	78455
86	19719	77744
87	19821	77032
88	19908	76280
89	19997	75546
90	20083	74817
91	20174	74119
92	20262	73425
93	20349	72737
94	20437	72068
95	20524	71408
96	20608	70748
97	20693	70103
98	20777	69468
99	20863	68849
100	20950	68245
101	21025	67612
102	21106	67008
103	21188	66416
104	21264	65819
105	21349	65257
106	21426	64680
107	21503	64111
108	21582	63560
109	21665	63025
110	21748	62503
111	21831	61985
112	21908	61460
113	21991	60959
114	22078	60475
115	22158	59979
116	22240	59499
117	22328	59038
118	22405	58555
119	22482	58080
120	22556	57602
121	22634	57142
122	22706	56674
123	22779	56213
124	22853	55761
125	22926	55315
126	23000	54874
127	23079	54453
128	23161	54043
129	23248	53651
130	23322	53232
131	23401	52830
132	23487	52450
133	23578	52082
134	23666	51716
135	23751	51344
136	23834	50974
137	23920	50613
138	24003	50251
139	24090	49901
140	24173	49547
141	24258	49200
142	24336	48842
143	24414	48490
144	24490	48136
145	24568	47790
146	24653	47462
147	24738	47136
148	24814	46796
149	24885	46453
150	24962	46122
151	25042	45800
152	25120	45480
153	25209	45180
154	25286	44863
155	25361	44545
156	25444	44244
157	25525	43942
158	25602	43637
159	25678	43332
160	25754	43030
161	25829	42729
162	25903	42431
163	25980	42138
164	26055	41846
165	26129	41555
166	26199	41259
167	26270	40969
168	26351	40696
169	26425	40415
170	26498	40134
171	26574	39861
172	26650	39590
173	26725	39320
174	26804	39057
175	26879	38792
176	26937	38503
177	27001	38227
178	27079	37971
179	27156	37717
180	27231	37461
181	27302	37203
182	27373	36947
183	27444	36692
184	27526	36454
185	27603	36210
186	27679	35968
187	27759	35733
188	27826	35482
189	27911	35256
190	27997	35034
191	28084	34813
192	28179	34603
193	28272	34393
194	28357	34174
195	28427	33939
196	28512	33722
197	28590	33500
198	28669	33279
199	28747	33059
200	28828	32844
201	28902	32622
202	28959	32383
203	29032	32163
204	29089	31927
205	29145	31692
206	29218	31476
207	29284	31255
208	29353	31039
209	29426	30827
210	29493	30611
211	29553	30389
212	29613	30170
213	29679	29956
214	29746	29746
215	29802	29526
216	29873	29322
217	29938	29114
218	30020	28923
219	30072	28706
220	30132	28496
221	30217	28311
222	30274	28102
223	30349	27910
224	30424	27719
225	30487	27519
226	30556	27325
227	30612	27121
228	30680	26929
229	30759	26747
230	30835	26564
231	30893	26365
232	30952	26170
233	31013	25977
234	31070	25782
235	31145	25602
236	31224	25427
237	31281	25235
238	31359	25061
239	31418	24872
240	31471	24681
241	31532	24496
242	31594	24313
243	31653	24129
244	31729	23958
245	31789	23777
246	31847	23595
247	31908	23417
248	31963	23234
249	32025	23058
250	32083	22880
251	32156	22713
252	32222	22542
253	32278	22366
254	32352	22202
255	32415	22032
256	32475	21861
257	32536	21691
258	32601	21524
259	32689	21373
260	32757	21210
261	32818	21044
262	32905	20894
263	32966	20729
264	33024	20562
265	33083	20397
266	33139	20231
267	33199	20068
268	33266	19910
269	33336	19755
270	33413	19604
271	33498	19458
272	33557	19298
273	33638	19151
274	33699	18994
275	33756	18835
276	33825	18683
277	33886	18527
278	33957	18378
279	34035	18233
280	34101	18082
281	34169	17933
282	34229	17779
283	34305	17635
284	34361	17482
285	34422	17331
286	34475	17177
287	34532	17026
288	34593	16877
289	34654	16729
290	34714	16581
291	34790	16442
292	34848	16294
293	34926	16156
294	35010	16021
295	35083	15882
296	35137	15735
297	35199	15591
298	35253	15445
299	35309	15300
300	35362	15155
301	35423	15014
302	35481	14871
303	35540	14730
304	35604	14592
305	35669	14454
306	35730	14315
307	35789	14176
308	35853	14039
309	35919	13904
310	35977	13766
311	36039	13630
312	36100	13494
313	36161	13359
314	36223	13224
315	36282	13089
316	36343	12955
317	36405	12822
318	36471	12690
319	36531	12557
320	36595	12426
321	36650	12292
322	36727	12166
323	36800	12039
324	36856	11907
325	36915	11776
326	36976	11647
327	37036	11517
328	37096	11388
329	37154	11259
330	37215	11130
331	37274	11002
332	37340	10876
333	37409	10752
334	37487	10630
335	37553	10505
336	37616	10380
337	37673	10254
338	37738	10130
339	37796	10005
340	37854	9879
341	37914	9755
342	37977	9632
343	38040	9510
344	38119	9391
345	38186	9270
346	38245	9148
347	38306	9026
348	38369	8905
349	38448	8788
350	38510	8667
351	38572	8547
352	38633	8427
353	38701	8308
354	38762	8189
355	38823	8070
356	38908	7956
357	38972	7838
358	39044	7721
359	39105	7603
360	39163	7485
361	39229	7369
362	39287	7251
363	39340	7133
364	39402	7016
365	39469	6901
366	39530	6785
367	39591	6670
368	39653	6555
369	39715	6440
370	39779	6326
371	39844	6212
372	39903	6097
373	39971	5985
374	40031	5871
375	40097	5758
376	40156	5645
377	40220	5533
378	40290	5421
379	40359	5310
380	40432	5199
381	40501	5089
382	40602	4982
383	40673	4872
384	40739	4761
385	40840	4655
386	40940	4548
387	41002	4438
388	41072	4328
389	41142	4219
390	41207	4110
391	41281	4001
392	41346	3892
393	41408	3783
394	41474	3674
395	41534	3566
396	41607	3458
397	41674	3350
398	41752	3243
399	41806	3135
400	41888	3029
401	41944	2921
402	42004	2814
403	42061	2706
404	42117	2599
405	42179	2493
406	42238	2386
407	42301	2280
408	42362	2175
409	42422	2069
410	42482	1963
411	42540	1858
412	42599	1753
413	42661	1648
414	42720	1544
415	42782	1439
416	42846	1335
417	42905	1231
418	42962	1127
419	43023	1024
420	43084	921
421	43151	818
422	43211	715
423	43274	612
424	43339	509
425	43400	407
426	43458	305
427	43519	203
428	43579	101
429	43638	0
